Year,Vi,Multi-adult,Multi-adult with children,"Multi-adult, 65+",Single,Single with children,"Single, 65+",min,max,Income_band
2019,24000,28686.5632753874,79698.2937979692,57602.0294132794,4494.30743587592,19046.2096799984,27388.4638584986,"$24,000","$26,000","$24,000-$26,000"
2019,26000,24375.3594618069,70231.2282223038,43399.8397072103,3615.69755326801,13930.0372915283,14655.7977004445,"$26,000","$28,000","$26,000-$28,000"
2019,28000,27408.7964853826,84807.0492089571,30792.8034798137,4069.37680623113,14346.381082385,7546.6026438999,"$28,000","$30,000","$28,000-$30,000"
2019,30000,26128.8989182853,90296.6626612605,21895.1018362585,4486.218472074,13051.4053275835,4726.56541750899,"$30,000","$32,000","$30,000-$32,000"
2019,32000,29708.6785910844,98176.9887895989,25910.1507185278,3473.569691987,9703.79230831101,4667.15796578558,"$32,000","$34,000","$32,000-$34,000"
2019,34000,33437.6683304098,89054.411573883,19858.9123817491,3316.77723829213,7368.56408324683,4083.03503177968,"$34,000","$36,000","$34,000-$36,000"
2019,36000,28895.1684626748,100051.349288205,19654.6016213784,3050.67060089028,8955.82540364668,3759.94669682036,"$36,000","$38,000","$36,000-$38,000"
2019,38000,30478.4728592949,97588.7673391112,17308.9463002743,4505.2796501775,6763.95193391707,2517.57749333081,"$38,000","$40,000","$38,000-$40,000"
2019,40000,31184.288846377,97759.7135539082,16688.6207751313,4415.13953019649,6033.48437711771,2105.54281424615,"$40,000","$42,000","$40,000-$42,000"
2019,42000,35340.7036895929,83448.26895425,22583.4341009879,5432.71171317143,3042.13325956406,2100.76569801196,"$42,000","$44,000","$42,000-$44,000"
2019,44000,39696.4628013526,88496.3695846507,18056.7341917707,4980.0225365496,4587.83422325179,2428.85769599606,"$44,000","$46,000","$44,000-$46,000"
2019,46000,37866.8818107733,87672.2129562884,21294.3777583371,4110.4573013183,2348.32713833341,1872.52415518058,"$46,000","$48,000","$46,000-$48,000"
2019,48000,34237.7214175037,73542.8294934589,23427.2960873297,3673.52937642489,2272.02409369414,2101.55946370747,"$48,000","$50,000","$48,000-$50,000"
